#Release 14.5 - par P.58f (nt64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Wed Sep 12 20:48:15 2018

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       multiplicador_map.ncd
#OUTPUT FILE:      multiplicador_pad.csv
#PART TYPE:        xc3s1200e
#SPEED GRADE:      -5
#PACKAGE:          fg320
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
C5,,DIFFM,IO_L23P_0,UNUSED,,0,,,,,,,,,
C6,,,VCCO_0,,,0,,,,,2.50,,,,
C7,,DIFFM,IO_L18P_0,UNUSED,,0,,,,,,,,,
C8,,DIFFMI,IP_L16P_0,UNUSED,,0,,,,,,,,,
C9,,DIFFM,IO_L14P_0/GCLK10,UNUSED,,0,,,,,,,,,
C10,,,GND,,,,,,,,,,,,
C11,,DIFFM,IO_L09P_0,UNUSED,,0,,,,,,,,,
C12,,DIFFMI,IP_L07P_0,UNUSED,,0,,,,,,,,,
C13,,,VCCO_0,,,0,,,,,2.50,,,,
C14,,DIFFS,IO_L03N_0/VREF_0,UNUSED,,0,,,,,,,,,
C15,B<15>,IBUF,IP,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C16,,,TDO,,,,,,,,,,,,
C17,,DIFFS,IO_L24N_1/LDC2,UNUSED,,1,,,,,,,,,
C18,,DIFFM,IO_L24P_1/LDC1,UNUSED,,1,,,,,,,,,
D1,,DIFFM,IO_L02P_3,UNUSED,,3,,,,,,,,,
D2,,DIFFS,IO_L02N_3/VREF_3,UNUSED,,3,,,,,,,,,
D3,,IBUF,IP,UNUSED,,3,,,,,,,,,
D4,,DIFFS,IO,UNUSED,,3,,,,,,,,,
D5,,DIFFS,IO_L23N_0/VREF_0,UNUSED,,0,,,,,,,,,
D6,,DIFFM,IO_L21P_0,UNUSED,,0,,,,,,,,,
D7,,DIFFS,IO_L18N_0/VREF_0,UNUSED,,0,,,,,,,,,
D8,,DIFFSI,IP_L16N_0,UNUSED,,0,,,,,,,,,
D9,,DIFFS,IO_L14N_0/GCLK11,UNUSED,,0,,,,,,,,,
D10,,DIFFM,IO_L11P_0/GCLK4,UNUSED,,0,,,,,,,,,
D11,,DIFFS,IO_L09N_0,UNUSED,,0,,,,,,,,,
D12,,DIFFSI,IP_L07N_0,UNUSED,,0,,,,,,,,,
D13,,IOB,IO,UNUSED,,0,,,,,,,,,
D14,,DIFFM,IO_L03P_0,UNUSED,,0,,,,,,,,,
D15,,,TMS,,,,,,,,,,,,
D16,,DIFFS,IO_L23N_1/LDC0,UNUSED,,1,,,,,,,,,
D17,,DIFFM,IO_L23P_1/HDC,UNUSED,,1,,,,,,,,,
D18,,IBUF,IP/VREF_1,UNUSED,,1,,,,,,,,,
E1,,DIFFS,IO_L03N_3,UNUSED,,3,,,,,,,,,
E2,,DIFFM,IO_L03P_3,UNUSED,,3,,,,,,,,,
E3,,DIFFS,IO_L04N_3,UNUSED,,3,,,,,,,,,
E4,,DIFFM,IO_L04P_3,UNUSED,,3,,,,,,,,,
E5,,,VCCINT,,,,,,,,1.2,,,,
E6,,DIFFS,IO_L21N_0,UNUSED,,0,,,,,,,,,
E7,,DIFFS,IO_L19N_0/VREF_0,UNUSED,,0,,,,,,,,,
E8,,DIFFM,IO_L17P_0,UNUSED,,0,,,,,,,,,
E9,,DIFFM,IO_L15P_0,UNUSED,,0,,,,,,,,,
E10,,DIFFS,IO_L11N_0/GCLK5,UNUSED,,0,,,,,,,,,
E11,P<2>,IOB,IO_L08P_0,OUTPUT,LVTTL,0,8,SLOW,NONE**,,,LOCATED,NO,NONE,
E12,P<1>,IOB,IO_L06N_0,OUTPUT,LVTTL,0,8,SLOW,NONE**,,,LOCATED,NO,NONE,
E13,,IOB,IO,UNUSED,,0,,,,,,,,,
E14,,,VCCINT,,,,,,,,1.2,,,,
E15,,DIFFM,IO_L22P_1,UNUSED,,1,,,,,,,,,
E16,,DIFFS,IO_L22N_1,UNUSED,,1,,,,,,,,,
E17,,IBUF,IP,UNUSED,,1,,,,,,,,,
E18,,IBUF,IP,UNUSED,,1,,,,,,,,,
F1,,DIFFM,IO_L05P_3,UNUSED,,3,,,,,,,,,
F2,,DIFFS,IO_L05N_3,UNUSED,,3,,,,,,,,,
F3,,,VCCO_3,,,3,,,,,2.50,,,,
F4,,IBUF,IP,UNUSED,,3,,,,,,,,,
F5,,IBUF,IP,UNUSED,,3,,,,,,,,,
F6,,,VCCINT,,,,,,,,1.2,,,,
F7,,DIFFM,IO_L19P_0,UNUSED,,0,,,,,,,,,
F8,,DIFFS,IO_L17N_0,UNUSED,,0,,,,,,,,,
F9,,DIFFS,IO_L15N_0,UNUSED,,0,,,,,,,,,
F10,,DIFFMI,IP_L10P_0,UNUSED,,0,,,,,,,,,
F11,P<3>,IOB,IO_L08N_0,OUTPUT,LVTTL,0,8,SLOW,NONE**,,,LOCATED,NO,NONE,
F12,P<0>,IOB,IO_L06P_0,OUTPUT,LVTTL,0,8,SLOW,NONE**,,,LOCATED,NO,NONE,
F13,,,VCCINT,,,,,,,,1.2,,,,
F14,,DIFFS,IO_L21N_1,UNUSED,,1,,,,,,,,,
F15,,DIFFM,IO_L21P_1,UNUSED,,1,,,,,,,,,
F16,,,VCCO_1,,,1,,,,,2.50,,,,
F17,,DIFFS,IO_L19N_1,UNUSED,,1,,,,,,,,,
F18,,DIFFM,IO_L19P_1,UNUSED,,1,,,,,,,,,
G1,,IBUF,IP,UNUSED,,3,,,,,,,,,
G2,,,VCCAUX,,,,,,,,2.5,,,,
G3,,DIFFM,IO_L06P_3,UNUSED,,3,,,,,,,,,
G4,,DIFFS,IO_L06N_3/VREF_3,UNUSED,,3,,,,,,,,,
G5,,DIFFS,IO_L07N_3,UNUSED,,3,,,,,,,,,
G6,,DIFFM,IO_L07P_3,UNUSED,,3,,,,,,,,,
G7,,,GND,,,,,,,,,,,,
G8,,,VCCO_0,,,0,,,,,2.50,,,,
G9,,IOB,IO,UNUSED,,0,,,,,,,,,
G10,,DIFFSI,IP_L10N_0,UNUSED,,0,,,,,,,,,
G11,,,VCCO_0,,,0,,,,,2.50,,,,
G12,,,GND,,,,,,,,,,,,
G13,,DIFFS,IO_L20N_1,UNUSED,,1,,,,,,,,,
G14,,DIFFM,IO_L20P_1,UNUSED,,1,,,,,,,,,
G15,,DIFFM,IO_L18P_1,UNUSED,,1,,,,,,,,,
G16,,DIFFS,IO_L18N_1,UNUSED,,1,,,,,,,,,
G17,,,VCCAUX,,,,,,,,2.5,,,,
G18,,IBUF,IP,UNUSED,,1,,,,,,,,,
H1,,DIFFS,IO_L10N_3,UNUSED,,3,,,,,,,,,
H2,,DIFFM,IO_L10P_3,UNUSED,,3,,,,,,,,,
H3,,DIFFS,IO_L09N_3,UNUSED,,3,,,,,,,,,
H4,,DIFFM,IO_L09P_3,UNUSED,,3,,,,,,,,,
H5,,DIFFS,IO_L08N_3,UNUSED,,3,,,,,,,,,
H6,,DIFFM,IO_L08P_3,UNUSED,,3,,,,,,,,,
H7,,,VCCO_3,,,3,,,,,2.50,,,,
H8,,,GND,,,,,,,,,,,,
H9,,,GND,,,,,,,,,,,,
H10,,,GND,,,,,,,,,,,,
H11,,,GND,,,,,,,,,,,,
H12,,,VCCO_1,,,1,,,,,2.50,,,,
H13,,IBUF,IP,UNUSED,,1,,,,,,,,,
H14,,DIFFM,IO_L17P_1,UNUSED,,1,,,,,,,,,
H15,,DIFFS,IO_L17N_1,UNUSED,,1,,,,,,,,,
H16,,DIFFM,IO_L16P_1,UNUSED,,1,,,,,,,,,
H17,,DIFFS,IO_L16N_1/A0,UNUSED,,1,,,,,,,,,
H18,A<0>,IBUF,IP/VREF_1,INPUT,LVTTL,1,,,PULLUP,NONE,,LOCATED,NO,NONE,
J1,,DIFFM,IO_L12P_3/LHCLK2,UNUSED,,3,,,,,,,,,
J2,,DIFFS,IO_L12N_3/LHCLK3/IRDY2,UNUSED,,3,,,,,,,,,
J3,,,GND,,,,,,,,,,,,
J4,,DIFFS,IO_L11N_3/LHCLK1,UNUSED,,3,,,,,,,,,
J5,,DIFFM,IO_L11P_3/LHCLK0,UNUSED,,3,,,,,,,,,
J6,,IBUF,IP/VREF_3,UNUSED,,3,,,,,,,,,
J7,,IBUF,IP,UNUSED,,3,,,,,,,,,
J8,,,GND,,,,,,,,,,,,
J11,,,GND,,,,,,,,,,,,
J12,,DIFFM,IO_L15P_1/A2,UNUSED,,1,,,,,,,,,
J13,,DIFFS,IO_L15N_1/A1,UNUSED,,1,,,,,,,,,
J14,,DIFFS,IO_L14N_1/A3/RHCLK7,UNUSED,,1,,,,,,,,,
J15,,DIFFM,IO_L14P_1/A4/RHCLK6,UNUSED,,1,,,,,,,,,
J16,A<2>,IBUF,IO_L13N_1/A5/RHCLK5,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
J17,,DIFFM,IO_L13P_1/A6/RHCLK4/IRDY1,UNUSED,,1,,,,,,,,,
J18,,,VCCO_1,,,1,,,,,2.50,,,,
K1,,,VCCO_3,,,3,,,,,2.50,,,,
K2,,IBUF,IP,UNUSED,,3,,,,,,,,,
K3,,DIFFM,IO_L13P_3/LHCLK4/TRDY2,UNUSED,,3,,,,,,,,,
K4,,DIFFS,IO_L13N_3/LHCLK5,UNUSED,,3,,,,,,,,,
K5,,DIFFS,IO_L14N_3/LHCLK7,UNUSED,,3,,,,,,,,,
K6,,DIFFM,IO_L14P_3/LHCLK6,UNUSED,,3,,,,,,,,,
K7,,IBUF,IP,UNUSED,,3,,,,,,,,,
K8,,,GND,,,,,,,,,,,,
K11,,,GND,,,,,,,,,,,,
K12,A<6>,IBUF,IO_L11N_1/A9/RHCLK1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K13,A<8>,IBUF,IO_L11P_1/A10/RHCLK0,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K14,A<5>,IBUF,IO_L12N_1/A7/RHCLK3/TRDY1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K15,A<4>,IBUF,IO_L12P_1/A8/RHCLK2,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K16,,,GND,,,,,,,,,,,,
K17,A<9>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K18,A<3>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L1,,DIFFM,IO_L15P_3,UNUSED,,3,,,,,,,,,
L2,,DIFFS,IO_L15N_3,UNUSED,,3,,,,,,,,,
L3,,DIFFM,IO_L16P_3,UNUSED,,3,,,,,,,,,
L4,,DIFFS,IO_L16N_3,UNUSED,,3,,,,,,,,,
L5,,DIFFS,IO_L17N_3/VREF_3,UNUSED,,3,,,,,,,,,
L6,,DIFFM,IO_L17P_3,UNUSED,,3,,,,,,,,,
L7,,,VCCO_3,,,3,,,,,2.50,,,,
L8,,,GND,,,,,,,,,,,,
L9,,,GND,,,,,,,,,,,,
L10,,,GND,,,,,,,,,,,,
L11,,,GND,,,,,,,,,,,,
L12,,,VCCO_1,,,1,,,,,2.50,,,,
L13,B<0>,IBUF,IP,INPUT,LVTTL,1,,,PULLUP,NONE,,LOCATED,NO,NONE,
L14,B<1>,IBUF,IP,INPUT,LVTTL,1,,,PULLUP,NONE,,LOCATED,NO,NONE,
L15,A<11>,IBUF,IO_L09N_1/A11,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L16,A<12>,IBUF,IO_L09P_1/A12,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L17,A<7>,IBUF,IO_L10N_1/VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L18,A<10>,IBUF,IO_L10P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
M1,,IBUF,IP,UNUSED,,3,,,,,,,,,
M2,,,VCCAUX,,,,,,,,2.5,,,,
M3,,DIFFS,IO_L18N_3,UNUSED,,3,,,,,,,,,
M4,,DIFFM,IO_L18P_3,UNUSED,,3,,,,,,,,,
M5,P<27>,IOB,IO_L19P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M6,P<29>,IOB,IO_L19N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M7,,,GND,,,,,,,,,,,,
M8,,,VCCO_2,,,2,,,,,2.50,,,,
M9,,DIFFS,IO_L12N_2/D6/GCLK13,UNUSED,,2,,,,,,,,,
M10,P<10>,IOB,IO_L16P_2/M0,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M11,,,VCCO_2,,,2,,,,,2.50,,,,
M12,,,GND,,,,,,,,,,,,
M13,B<2>,IBUF,IO_L05N_1/VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
M14,B<4>,IBUF,IO_L05P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
M15,A<16>,IBUF,IO_L07P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
M16,,DIFFS,IO_L07N_1,UNUSED,,1,,,,,,,,,
M17,,,VCCAUX,,,,,,,,2.5,,,,
M18,A<13>,IBUF,IO_L08N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N1,,IBUF,IP,UNUSED,,3,,,,,,,,,
N2,,IBUF,IP,UNUSED,,3,,,,,,,,,
N3,,,VCCO_3,,,3,,,,,2.50,,,,
N4,P<28>,IOB,IO_L20P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N5,P<25>,IOB,IO_L20N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N6,,,VCCINT,,,,,,,,1.2,,,,
N7,P<24>,IOB,IO_L07P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N8,,DIFFS,IO_L09N_2,UNUSED,,2,,,,,,,,,
N9,P<20>,IOB,IO_L12P_2/D7/GCLK12,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N10,P<7>,IOB,IO_L16N_2/DIN/D0,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N11,,DIFFS,IO_L18N_2,UNUSED,,2,,,,,,,,,
N12,P<16>,IOB,IO_L21P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N13,,,VCCINT,,,,,,,,1.2,,,,
N14,B<5>,IBUF,IO_L04N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N15,B<6>,IBUF,IO_L04P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N16,,,VCCO_1,,,1,,,,,2.50,,,,
N17,A<1>,IBUF,IP,INPUT,LVTTL,1,,,PULLUP,NONE,,LOCATED,NO,NONE,
N18,A<14>,IBUF,IO_L08P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P1,,DIFFS,IO_L21N_3,UNUSED,,3,,,,,,,,,
P2,,DIFFM,IO_L21P_3,UNUSED,,3,,,,,,,,,
P3,,DIFFM,IO_L22P_3,UNUSED,,3,,,,,,,,,
P4,,DIFFS,IO_L22N_3,UNUSED,,3,,,,,,,,,
P5,,,VCCINT,,,,,,,,1.2,,,,
P6,P<33>,IOB,IO_L05N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P7,P<23>,IOB,IO_L07N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P8,P<21>,IOB,IO_L09P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P9,P<19>,IOB,IO,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P10,,DIFFS,IO_L15N_2/D1/GCLK3,UNUSED,,2,,,,,,,,,
P11,P<17>,IOB,IO_L18P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P12,,DIFFS,IO_L21N_2,UNUSED,,2,,,,,,,,,
P13,P<9>,IOB,IO_L22P_2/A23,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P14,,,VCCINT,,,,,,,,1.2,,,,
P15,B<7>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P16,B<8>,IBUF,IO,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P17,B<3>,IBUF,IO_L06P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P18,A<15>,IBUF,IO_L06N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
R1,,IBUF,IP,UNUSED,,3,,,,,,,,,
R2,,DIFFS,IO_L23N_3,UNUSED,,3,,,,,,,,,
R3,,DIFFM,IO_L23P_3,UNUSED,,3,,,,,,,,,
R4,,IBUF,IP/VREF_3,UNUSED,,3,,,,,,,,,
R5,,DIFFM,IO_L04P_2,UNUSED,,2,,,,,,,,,
R6,P<31>,IOB,IO_L05P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R7,,DIFFSI,IP_L08N_2,UNUSED,,2,,,,,,,,,
R8,P<18>,IOB,IO_L10P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R9,P<14>,IOB,IO/D5,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R10,P<11>,IOB,IO_L15P_2/D2/GCLK2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R11,P<12>,IOB,IO,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R12,,DIFFS,IO_L20N_2,UNUSED,,2,,,,,,,,,
R13,,DIFFS,IO_L22N_2/A22,UNUSED,,2,,,,,,,,,
R14,P<8>,IOB,IO_L24N_2/A20,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R15,B<9>,IBUF,IO_L03P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
R16,,DIFFS,IO_L03N_1/VREF_1,UNUSED,,1,,,,,,,,,
R17,B<10>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
R18,B<12>,IBUF,IO_L02P_1/A14,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
T1,,DIFFS,IO_L24N_3,UNUSED,,3,,,,,,,,,
T2,,DIFFM,IO_L24P_3,UNUSED,,3,,,,,,,,,
T3,,DIFFS,IO_L01N_2/INIT_B,UNUSED,,2,,,,,,,,,
T4,,DIFFS,IO_L03N_2/MOSI/CSI_B,UNUSED,,2,,,,,,,,,
T5,,DIFFS,IO_L04N_2,UNUSED,,2,,,,,,,,,
T6,,,VCCO_2,,,2,,,,,2.50,,,,
T7,,DIFFMI,IP_L08P_2,UNUSED,,2,,,,,,,,,
T8,,DIFFS,IO_L10N_2,UNUSED,,2,,,,,,,,,
T9,,,GND,,,,,,,,,,,,
T10,,DIFFSI,IP_L14N_2/M2/GCLK1,UNUSED,,2,,,,,,,,,
T11,,DIFFMI,IP_L17P_2,UNUSED,,2,,,,,,,,,
T12,,DIFFM,IO_L20P_2,UNUSED,,2,,,,,,,,,
T13,,,VCCO_2,,,2,,,,,2.50,,,,
T14,P<6>,IOB,IO_L24P_2/A21,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
T15,P<4>,IOB,IO/VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
T16,,DIFFM,IO_L26P_2/VS0/A17,UNUSED,,2,,,,,,,,,
T17,B<13>,IBUF,IO_L01N_1/A15,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
T18,B<11>,IBUF,IO_L02N_1/A13,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
U1,,IBUF,IP,UNUSED,,3,,,,,,,,,
U2,,,GND,,,,,,,,,,,,
U3,P<34>,IOB,IO_L01P_2/CSO_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
U4,,DIFFM,IO_L03P_2/DOUT/BUSY,UNUSED,,2,,,,,,,,,
U5,,IOB,IO/VREF_2,UNUSED,,2,,,,,,,,,
U6,P<30>,IOB,IO,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
U7,,,VCCAUX,,,,,,,,2.5,,,,
U8,,DIFFMI,IP_L11P_2,UNUSED,,2,,,,,,,,,
U9,P<13>,IOB,IO_L13P_2/D4/GCLK14,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
U10,,DIFFMI,IP_L14P_2/RDWR_B/GCLK0,UNUSED,,2,,,,,,,,,
U11,,DIFFSI,IP_L17N_2,UNUSED,,2,,,,,,,,,
U12,,,VCCAUX,,,,,,,,2.5,,,,
U13,P<5>,IOB,IO,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
U14,,DIFFSI,IP_L23N_2,UNUSED,,2,,,,,,,,,
U15,,DIFFS,IO_L25N_2/VS1/A18,UNUSED,,2,,,,,,,,,
U16,,DIFFS,IO_L26N_2/CCLK,UNUSED,,2,,,,,,,,,
U17,,,GND,,,,,,,,,,,,
U18,B<14>,IBUF,IO_L01P_1/A16,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
V1,,,GND,,,,,,,,,,,,
V2,,IBUF,IP,UNUSED,,2,,,,,,,,,
V3,,DIFFSI,IP_L02N_2,UNUSED,,2,,,,,,,,,
V4,,DIFFMI,IP_L02P_2,UNUSED,,2,,,,,,,,,
V5,P<26>,IOB,IO_L06P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
V6,P<32>,IOB,IO_L06N_2/VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
V7,P<22>,IOB,IO,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
V8,,DIFFSI,IP_L11N_2/VREF_2,UNUSED,,2,,,,,,,,,
V9,,DIFFS,IO_L13N_2/D3/GCLK15,UNUSED,,2,,,,,,,,,
V10,,,VCCO_2,,,2,,,,,2.50,,,,
V11,,IOB,IO/M1,UNUSED,,2,,,,,,,,,
V12,P<15>,IOB,IO_L19P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
V13,,DIFFS,IO_L19N_2/VREF_2,UNUSED,,2,,,,,,,,,
V14,,DIFFMI,IP_L23P_2,UNUSED,,2,,,,,,,,,
V15,,DIFFM,IO_L25P_2/VS2/A19,UNUSED,,2,,,,,,,,,
V16,,IBUF,IP,UNUSED,,2,,,,,,,,,
V17,,,DONE,,,,,,,,,,,,
V18,,,GND,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
